idcode,SMU,SM,PK1,PK2,PK3,ENT1,ENT2,ENT3,ENT4,INT1,INT2,INT3,CUS1,CUS2,CUS3,CUS4,TRE1,TRE2,TRE3,TRE4,WOM1,WOM2,WOM3,WOM4,CPI1,CPI2,CPI3,CPI4,CPI5,CPI6,CPI7,CP18,RB1,RB2,RB3,RB4,RB5,RB6,VI1,VI2,VI3,VI4,VI5,Age
183,1,3,1,1,1,4,4,4,3,5,4,3,4,5,4,4,4,5,3,5,4,4,4,5,5,4,3,4,5,4,4,5,4,5,4,4,4,5,5,5,5,5,5,27
184,1,1,1,1,1,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,4,5,5,4,5,4,5,4,5,5,5,5,4,4,4,5,4,5,4,4,5,31
185,1,1,1,1,1,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,30
186,1,3,1,1,1,5,5,4,4,5,5,4,4,5,5,4,4,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,34
187,1,3,1,1,1,4,4,4,3,5,4,3,4,5,4,4,4,5,3,5,4,4,4,5,5,4,3,4,5,4,4,5,4,5,4,4,4,5,5,5,5,5,5,27
188,1,1,1,1,1,4,5,3,5,4,5,4,5,4,4,5,3,5,4,4,5,4,5,3,4,4,4,5,5,4,4,5,5,4,4,4,4,5,5,4,3,4,5,30
189,1,1,1,1,1,5,5,4,4,5,5,4,5,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,5,4,5,5,4,4,5,34
190,1,1,1,1,1,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,32
191,1,1,1,1,1,5,5,5,4,5,4,4,4,4,5,4,4,5,4,4,5,5,4,4,5,4,4,5,4,5,4,5,4,4,4,4,5,4,4,5,4,5,4,30
192,1,1,1,1,1,4,4,5,5,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,5,5,5,4,4,4,5,4,4,5,4,5,4,5,4,30
193,1,1,1,1,1,5,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,5,4,5,5,4,4,5,5,4,5,4,5,5,4,5,4,4,5,30
194,1,1,1,1,1,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,4,4,5,4,4,5,4,4,5,5,4,5,29
195,1,2,1,1,1,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,33
196,1,1,1,1,1,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,5,5,4,4,4,5,5,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4,4,33
197,1,1,1,1,1,5,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,4,4,4,5,5,4,5,5,5,4,4,33
198,1,3,1,1,1,5,4,4,5,4,4,3,4,3,4,5,5,4,5,4,4,4,5,4,4,3,4,5,4,4,5,5,5,5,4,5,4,5,5,5,5,5,5,27
199,1,3,1,1,1,4,5,4,5,5,5,4,5,4,5,4,5,4,4,4,5,5,5,4,4,5,3,5,4,4,4,5,5,4,4,5,4,5,4,5,4,4,5,28
200,1,3,1,1,1,4,5,3,5,4,4,5,5,4,4,4,5,5,5,5,4,4,5,5,4,5,4,5,5,4,4,5,4,5,4,5,4,5,5,4,5,4,5,30
201,1,3,1,1,1,4,5,5,4,5,4,5,5,4,5,5,4,5,5,5,4,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,5,5,5,5,5,29
202,1,1,1,1,1,4,5,4,5,4,5,4,5,5,4,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,33
203,1,3,1,1,1,4,4,5,4,5,4,5,4,5,3,5,5,4,5,5,5,4,4,3,5,5,4,5,4,3,4,5,5,5,4,5,4,5,5,4,5,5,5,33
